iter	Passed	Remaining
398	71211	107264
399	71326	106990
400	71450	106730
401	71577	106476
402	71695	106208
403	71874	106032
404	72023	105811
405	72146	105554
406	72261	105285
407	72403	105056
408	72528	104802
409	72652	104549
410	72786	104309
411	72915	104064
412	73038	103810
413	73162	103558
414	73294	103318
415	73414	103062
416	73524	102793
417	73672	102577
418	73797	102329
419	73934	102100
420	74062	101857
421	74188	101614
422	74322	101381
423	74457	101149
424	74591	100917
425	74699	100651
426	74848	100440
427	74983	100211
428	75115	99978
429	75234	99729
430	75357	99486
431	75479	99241
432	75616	99017
433	75740	98777
434	75863	98535
435	76016	98332
436	76156	98114
437	76287	97884
438	76418	97655
439	76541	97416
440	76648	97157
441	76796	96950
442	76930	96726
443	77060	96499
444	77193	96275
445	77321	96044
446	77430	95792
447	77576	95584
448	77719	95375
449	77857	95158
450	77969	94911
451	78100	94688
452	78229	94463
453	78368	94248
454	78497	94024
455	78623	93796
456	78771	93594
457	78910	93383
458	79083	93211
459	79215	92991
460	79351	92777
461	79518	92599
462	79712	92452
463	79908	92307
464	80074	92129
465	80214	91919
466	80356	91713
467	80504	91513
468	80648	91309
469	80784	91097
470	80916	90880
471	81055	90672
472	81187	90455
473	81301	90220
474	81433	90005
475	81569	89794
476	81764	89649
477	81897	89436
478	82033	89226
479	82178	89026
480	82295	88797
481	82446	88604
482	82614	88430
483	82732	88202
484	82869	87995
485	83003	87785
486	83151	87590
487	83306	87403
488	83428	87182
489	83544	86954
490	83680	86748
491	83846	86573
492	83960	86344
493	84104	86147
494	84246	85948
495	84407	85768
496	84541	85561
497	84667	85347
498	84809	85149
499	84990	84990
500	85113	84773
501	85252	84573
502	85417	84398
503	85548	84190
504	85691	83994
505	85805	83770
506	85946	83572
507	86082	83371
508	86205	83156
509	86343	82957
510	86470	82747
511	86592	82533
512	86712	82317
513	86892	82159
514	87119	82044
515	87291	81878
516	87458	81707
517	87609	81520
518	87863	81430
519	87977	81209
520	88115	81012
521	88252	80813
522	88385	80611
523	88505	80398
524	88619	80179
525	88748	79975
526	88877	79770
527	89007	79567
528	89136	79363
529	89262	79157
530	89387	78950
531	89502	78735
532	89640	78540
533	89784	78351
534	89887	78126
535	90021	77929
536	90157	77733
537	90299	77543
538	90417	77332
539	90551	77136
540	90675	76931
541	90894	76807
542	91000	76588
543	91146	76402
544	91273	76200
545	91397	75996
546	91534	75804
547	91699	75634
548	91830	75438
549	91953	75235
550	92068	75024
551	92198	74827
552	92398	74687
553	92541	74501
554	92663	74297
555	92787	74096
556	92909	73893
557	93045	73702
558	93165	73498
559	93296	73304
560	93441	73120
561	93563	72919
562	93706	72734
563	93830	72535
564	93984	72359
565	94109	72161
566	94236	71965
567	94356	71764
568	94469	71557
569	94624	71383
570	94750	71187
571	94893	71004
572	95021	70810
573	95160	70624
574	95284	70427
575	95402	70226
576	95555	70052
577	95670	69849
578	95823	69674
579	95958	69487
580	96113	69314
581	96237	69119
582	96384	68940
583	96591	68805
584	96731	68621
585	96865	68433
586	97024	68264
587	97186	68096
588	97358	67936
589	97498	67753
590	97610	67550
591	97742	67363
592	97877	67177
593	98026	67000
594	98160	66815
595	98284	66622
596	98436	66448
597	98555	66252
598	98697	66073
599	98829	65886
600	98952	65693
601	99072	65499
602	99207	65315
603	99347	65134
604	99469	64942
605	99617	64768
606	99733	64572
607	99874	64392
608	100000	64204
609	100127	64016
610	100251	63826
