iter	RMSE
219	0.1082004912
220	0.1081922444
221	0.1081834533
222	0.1081768721
223	0.1081681348
224	0.1081591053
225	0.108153364
226	0.1081481885
227	0.1081436212
228	0.108134962
229	0.1081214683
230	0.1081090172
231	0.108099161
232	0.1080832998
233	0.1080757296
234	0.1080682662
235	0.108060387
236	0.1080522801
237	0.1080434087
238	0.1080365143
239	0.1080268597
240	0.1080220504
241	0.1080122792
242	0.1080074575
243	0.1080023041
244	0.107996574
245	0.1079892028
246	0.1079810165
247	0.1079738776
248	0.107963034
249	0.1079474519
250	0.1079401781
251	0.1079331113
252	0.1079228281
253	0.1079167649
254	0.1079079569
255	0.1078969378
256	0.1078812691
257	0.1078753345
258	0.107871175
259	0.1078628042
260	0.1078534661
261	0.1078387758
262	0.1078229339
263	0.1078171539
264	0.1078109233
265	0.1078023184
266	0.1077930715
267	0.1077885065
268	0.1077846546
269	0.1077787955
270	0.1077726495
271	0.1077684911
272	0.1077577451
273	0.107748258
274	0.1077414159
275	0.107731591
276	0.107725389
277	0.1077206772
278	0.107710566
279	0.107704443
280	0.1076973797
281	0.1076923491
282	0.1076855224
283	0.1076800874
284	0.1076722131
285	0.1076601396
286	0.1076524651
287	0.1076408077
288	0.1076316271
289	0.1076253313
290	0.107618766
291	0.1076146899
292	0.1076088905
293	0.1076027254
294	0.1075974456
295	0.1075890621
296	0.107582642
297	0.1075748986
298	0.1075695563
299	0.1075638123
300	0.1075601503
301	0.1075528101
302	0.1075480221
303	0.1075429919
304	0.1075361024
305	0.1075289347
306	0.1075234254
307	0.1075190682
308	0.1075147137
309	0.1075101479
310	0.1075061168
311	0.1075019561
312	0.1074977975
313	0.1074918738
314	0.1074854053
315	0.1074754547
316	0.1074682907
317	0.1074642713
318	0.1074597779
319	0.1074528401
320	0.107448179
321	0.107441929
322	0.1074364987
323	0.1074280987
324	0.1074233572
325	0.1074173465
326	0.1074138837
327	0.1074103255
328	0.1074045742
329	0.107399824
330	0.1073939206
331	0.1073864372
332	0.1073775677
333	0.1073732684
334	0.1073667368
335	0.107360288
336	0.1073553635
337	0.1073469342
338	0.1073441148
339	0.1073377026
340	0.1073321401
341	0.1073266944
342	0.1073216678
343	0.1073188235
344	0.1073158827
345	0.1073111285
346	0.1073065995
347	0.1073015252
348	0.1072952354
349	0.1072915071
350	0.1072851422
351	0.107281325
352	0.1072766625
353	0.1072696023
354	0.1072664482
355	0.1072626273
356	0.1072549959
357	0.1072507735
358	0.1072427357
359	0.1072381791
360	0.107231304
361	0.10722635
362	0.1072207349
363	0.1072161601
364	0.1072111845
365	0.1072082213
366	0.1072041862
367	0.1071979357
368	0.1071922448
369	0.1071835267
370	0.1071812261
371	0.107175107
372	0.1071687136
373	0.107163597
374	0.1071588281
375	0.1071533725
376	0.1071463885
377	0.1071416468
378	0.1071350902
379	0.107128595
380	0.1071246267
381	0.1071208322
382	0.1071175014
383	0.107112574
384	0.1071082104
385	0.1071048095
386	0.1071007339
387	0.1070966529
388	0.1070922023
389	0.1070878737
390	0.1070807476
391	0.1070745267
392	0.1070702763
393	0.1070667354
394	0.1070628804
395	0.1070559342
396	0.1070511974
397	0.1070418222
398	0.1070377275
399	0.1070328847
400	0.1070293129
401	0.1070265359
402	0.1070224867
403	0.10701665
404	0.107011348
405	0.1070078582
406	0.1070047072
407	0.1070000835
408	0.1069968529
409	0.1069924012
410	0.1069885571
411	0.1069834892
412	0.1069804246
413	0.1069766879
414	0.1069725731
415	0.1069700988
416	0.106965125
417	0.1069616928
418	0.106953916
419	0.1069492549
420	0.1069447387
421	0.1069420932
422	0.10693446
423	0.1069289705
424	0.1069257903
425	0.1069201185
426	0.1069131076
427	0.1069090472
428	0.1069041899
429	0.1069006876
430	0.1068959871
431	0.1068931223
432	0.1068898602
433	0.1068874148
434	0.1068804303
435	0.106874646
436	0.1068698751
437	0.1068671213
438	0.1068631197
439	0.1068611118
440	0.1068575195
441	0.1068488638
442	0.1068439446
443	0.1068389778
444	0.1068353429
445	0.1068315322
446	0.106828382
447	0.1068223858
448	0.1068175233
449	0.1068128141
450	0.1068104339
451	0.106805277
452	0.1068011702
453	0.106796808
454	0.1067925404
455	0.1067897857
456	0.1067865726
457	0.1067817796
458	0.106777313
459	0.1067734095
460	0.1067710303
461	0.1067628508
462	0.1067588252
463	0.1067546122
464	0.1067510387
465	0.1067475009
466	0.106741613
467	0.1067383564
468	0.1067344953
469	0.1067322381
470	0.1067291665
471	0.1067252972
472	0.1067201281
473	0.1067166426
474	0.1067125647
475	0.1067059559
476	0.1067033112
477	0.106700154
478	0.1066962466
479	0.1066928839
480	0.106687969
481	0.1066836228
482	0.1066805379
483	0.1066736585
484	0.1066715087
485	0.1066687374
486	0.1066652035
487	0.1066618396
488	0.1066597725
489	0.1066556545
490	0.1066517254
491	0.1066478476
492	0.1066456221
493	0.1066404838
494	0.1066334814
495	0.1066271909
496	0.1066237566
497	0.1066206442
498	0.1066164876
499	0.1066120376
500	0.1066076264
501	0.1066038982
502	0.1065996569
503	0.1065926109
504	0.1065894809
505	0.1065865214
506	0.1065798474
507	0.1065768652
508	0.1065730917
509	0.1065700708
510	0.106563761
511	0.1065599244
512	0.106555804
513	0.1065529161
514	0.106550224
515	0.1065466576
516	0.1065431235
517	0.1065414036
518	0.1065381483
519	0.1065357042
520	0.1065320959
521	0.1065282217
522	0.1065245111
523	0.106521238
524	0.1065190489
525	0.1065166261
526	0.1065121055
527	0.1065072548
528	0.1065041313
529	0.1065004093
530	0.1064986058
531	0.1064959511
532	0.106493124
533	0.1064878201
534	0.1064857654
535	0.1064833751
536	0.1064783682
537	0.1064741533
538	0.1064692661
539	0.1064670457
540	0.1064649558
541	0.1064613156
542	0.1064597492
543	0.1064543683
544	0.106450204
545	0.1064473828
546	0.1064445383
547	0.106442464
548	0.1064387881
549	0.1064355363
550	0.106432894
551	0.1064305813
552	0.1064284167
553	0.106426262
554	0.1064226662
555	0.106421093
556	0.1064174106
557	0.1064134574
558	0.1064114177
559	0.1064089248
560	0.1064064594
561	0.1064042578
562	0.1064016433
563	0.1063988692
564	0.106395873
565	0.1063913173
566	0.1063897649
567	0.1063865578
568	0.1063837758
569	0.1063808055
570	0.1063787865
571	0.1063761915
572	0.1063737881
573	0.1063707816
574	0.106368715
575	0.1063660298
576	0.1063631321
577	0.1063610847
578	0.1063579639
579	0.1063524712
580	0.1063479156
581	0.1063439679
582	0.1063397905
583	0.1063373687
584	0.1063341278
585	0.1063316405
586	0.1063266101
587	0.1063223595
588	0.1063197422
589	0.1063154112
590	0.1063125279
591	0.1063092856
592	0.1063065445
593	0.1063032968
594	0.1062988382
595	0.1062936677
596	0.1062910163
597	0.1062888905
598	0.1062847004
599	0.1062822015
600	0.1062795175
601	0.1062767992
602	0.1062741364
603	0.1062717638
604	0.1062687355
605	0.1062664257
606	0.1062623109
607	0.1062591506
608	0.106256954
609	0.1062553657
610	0.1062533892
611	0.1062518598
612	0.1062492033
613	0.10624564
614	0.1062421802
615	0.1062395427
616	0.1062366284
617	0.1062331861
618	0.1062299902
619	0.106227852
620	0.1062238162
621	0.1062201951
622	0.1062169674
623	0.1062131969
624	0.1062097501
625	0.1062075779
626	0.1062050786
627	0.1062024636
628	0.1061987483
629	0.1061961714
630	0.1061943217
631	0.1061920118
632	0.1061894035
633	0.1061846338
634	0.1061808306
635	0.1061771967
636	0.1061743395
637	0.106171335
638	0.1061697725
639	0.1061673703
640	0.1061627103
641	0.1061607124
642	0.1061593918
643	0.1061572789
644	0.1061538912
645	0.1061513241
646	0.1061484224
647	0.1061445648
648	0.1061419537
649	0.1061399204
650	0.1061369499
651	0.1061333681
652	0.1061308579
653	0.1061295649
654	0.1061269893
655	0.1061236864
656	0.1061212136
657	0.1061195388
658	0.1061181224
659	0.106115266
660	0.1061121651
661	0.1061064674
662	0.1061031777
663	0.1061016295
664	0.1060996792
665	0.106097635
666	0.1060947234
667	0.1060924264
668	0.1060907687
669	0.1060886518
670	0.1060858787
671	0.1060834309
672	0.1060811464
673	0.1060789983
674	0.1060766023
675	0.106075459
676	0.1060729053
677	0.1060700911
678	0.1060678052
679	0.1060656123
680	0.1060619604
681	0.1060590484
682	0.1060566929
683	0.1060547467
684	0.1060524666
685	0.1060498715
686	0.1060484843
687	0.1060452859
688	0.1060433225
689	0.1060413807
690	0.1060389398
691	0.1060359733
692	0.1060329545
693	0.1060306708
694	0.106028715
695	0.1060261493
696	0.1060247065
697	0.1060218498
698	0.1060177486
699	0.1060164051
700	0.1060134528
701	0.1060116403
702	0.1060092391
703	0.1060043077
704	0.1060019204
705	0.1059982227
706	0.1059962512
707	0.105994148
708	0.1059921295
709	0.1059879074
710	0.1059833084
711	0.1059816154
712	0.1059796088
713	0.1059774171
714	0.1059747722
715	0.1059723607
716	0.1059690584
717	0.105966703
718	0.1059623521
719	0.1059598072
720	0.1059569397
721	0.105955314
722	0.1059532659
723	0.1059515897
724	0.1059479463
725	0.1059456684
726	0.1059424624
727	0.1059411821
728	0.1059391747
729	0.105935968
730	0.1059348363
731	0.1059317767
732	0.1059270641
733	0.105925375
734	0.1059231673
735	0.105921216
736	0.1059174458
737	0.1059164783
738	0.1059143372
739	0.1059131584
740	0.105910646
741	0.1059087305
742	0.1059070562
743	0.1059047383
744	0.1059012449
745	0.1058987413
746	0.105894934
747	0.1058927368
748	0.1058906615
749	0.1058886393
750	0.1058852806
751	0.1058836182
752	0.1058809587
753	0.1058773177
754	0.1058734664
755	0.1058695571
756	0.1058656988
757	0.1058632721
758	0.1058596383
759	0.1058583231
760	0.105855706
761	0.1058532761
762	0.1058506016
763	0.1058487428
764	0.1058464826
765	0.1058405847
766	0.1058388443
767	0.1058357444
768	0.105833376
769	0.1058319294
770	0.1058300059
771	0.1058286034
772	0.1058275551
773	0.1058259202
774	0.1058235262
775	0.1058201903
776	0.1058178956
777	0.105815839
778	0.1058148867
779	0.1058128356
780	0.1058114623
781	0.1058075949
782	0.1058048177
783	0.1058023117
784	0.1058002323
785	0.1057984785
786	0.1057968146
787	0.1057930588
788	0.1057915577
789	0.1057888623
790	0.1057855623
791	0.1057832917
792	0.1057818655
793	0.1057792373
794	0.1057779324
795	0.1057755075
796	0.1057742536
797	0.1057717166
798	0.1057687349
799	0.1057669873
800	0.1057641553
801	0.1057627124
802	0.1057598663
803	0.105757698
804	0.1057546732
805	0.1057518908
806	0.1057492222
807	0.1057468577
808	0.1057444655
809	0.1057433104
810	0.1057416194
811	0.1057405368
812	0.1057363915
813	0.1057344765
814	0.1057326084
815	0.1057314455
816	0.1057301775
817	0.1057283429
818	0.105726863
819	0.1057221653
820	0.1057198351
821	0.1057171523
822	0.1057154302
823	0.1057124914
824	0.1057109529
825	0.1057089269
826	0.1057059999
827	0.1057036724
828	0.1057006343
829	0.1056991486
830	0.105697932
831	0.1056958461
832	0.1056937768
833	0.1056911036
834	0.1056893916
835	0.1056875927
836	0.1056851135
837	0.1056831959
838	0.1056820983
839	0.1056810597
840	0.105678696
841	0.1056764448
842	0.1056744526
843	0.1056721969
844	0.1056707493
845	0.1056688163
846	0.1056674373
847	0.105666189
848	0.1056641939
849	0.105662103
850	0.1056601112
851	0.1056585073
852	0.1056566928
853	0.1056552034
854	0.1056530216
855	0.1056496719
856	0.1056471875
857	0.1056457854
858	0.1056442208
859	0.1056427418
860	0.1056387506
861	0.10563658
862	0.1056352676
863	0.1056311121
864	0.1056296039
865	0.1056278517
866	0.1056255609
867	0.1056242498
868	0.1056224607
869	0.1056210926
870	0.1056193773
871	0.1056175227
872	0.105615786
873	0.1056128839
874	0.1056106846
875	0.1056088221
876	0.1056063311
877	0.1056044431
878	0.1056021787
879	0.1056002671
880	0.1055977842
881	0.1055941351
882	0.1055913404
883	0.1055886152
884	0.1055873487
885	0.1055858947
886	0.1055845716
887	0.1055829078
888	0.105580227
889	0.1055777935
890	0.1055734986
891	0.105571252
892	0.1055699553
893	0.105567736
894	0.1055660052
895	0.1055625084
896	0.1055582123
897	0.1055569824
898	0.1055556514
899	0.1055535695
900	0.105552216
901	0.1055514141
902	0.105549408
903	0.1055474607
904	0.1055447661
905	0.1055434187
906	0.1055425359
907	0.1055405829
908	0.1055378615
909	0.1055364329
910	0.1055347547
911	0.1055330456
912	0.105530474
913	0.1055287335
914	0.1055270739
915	0.1055239519
916	0.1055220178
917	0.1055202304
918	0.1055187298
919	0.1055167668
920	0.1055145526
921	0.1055131459
922	0.1055106969
923	0.1055078864
924	0.1055062901
925	0.1055047618
926	0.1055012514
927	0.1054993913
928	0.1054980029
929	0.1054961149
930	0.10549437
931	0.1054929893
932	0.1054902783
933	0.1054889121
934	0.1054869145
935	0.1054848208
936	0.1054831434
937	0.105481283
938	0.1054802645
939	0.1054788912
940	0.1054767755
941	0.1054754057
942	0.105473934
943	0.1054716895
944	0.1054704825
945	0.1054689349
946	0.1054657583
947	0.1054637229
948	0.1054625151
949	0.1054609907
950	0.1054589035
951	0.1054572043
952	0.1054557029
953	0.1054540573
954	0.1054515284
955	0.1054502269
956	0.1054477885
957	0.105445419
958	0.1054442818
959	0.1054430995
960	0.1054422005
961	0.105438361
962	0.1054368057
963	0.105435624
964	0.1054339364
965	0.1054327512
966	0.1054304463
967	0.1054293829
968	0.1054259042
969	0.1054231812
970	0.1054215525
971	0.105420345
972	0.1054186754
973	0.1054156932
974	0.1054135605
975	0.105411721
976	0.1054092871
977	0.1054074367
978	0.1054058937
979	0.1054037351
980	0.105402673
981	0.1053993429
982	0.1053967353
983	0.1053950319
984	0.1053933209
985	0.105392373
986	0.1053909218
987	0.1053888712
988	0.1053870751
989	0.1053853898
990	0.1053842006
991	0.105382221
992	0.1053800375
993	0.1053780083
994	0.1053765127
995	0.1053746412
996	0.1053727279
997	0.1053717574
998	0.105370419
999	0.1053691939
