,year,month,day,hour,mm_precip,temperature
0,2021,1,1,0,0.0,8.0
1,2021,1,1,1,0.0,8.15
2,2021,1,1,2,0.0,7.85
3,2021,1,1,3,0.0,6.35
4,2021,1,1,4,0.0,7.7
5,2021,1,1,5,0.0,7.7
6,2021,1,1,6,0.0,7.95
7,2021,1,1,7,0.0,7.65
8,2021,1,1,8,0.0,9.25
9,2021,1,1,9,0.0,9.45
10,2021,1,1,10,0.0,8.15
11,2021,1,1,11,0.0,8.1
12,2021,1,1,12,0.0,8.0
13,2021,1,1,13,0.0,8.4
14,2021,1,1,14,0.0,8.9
15,2021,1,1,15,0.0,8.850000000000001
16,2021,1,1,16,0.0,8.4
17,2021,1,1,17,0.0,8.3
18,2021,1,1,18,0.0,8.149999999999999
19,2021,1,1,19,0.0,8.2
20,2021,1,1,20,0.0,7.85
21,2021,1,1,21,0.0,7.5
22,2021,1,1,22,0.0,6.85
23,2021,1,1,23,0.0,6.6
24,2021,1,2,0,0.0,6.0
25,2021,1,2,1,0.0,4.95
26,2021,1,2,2,0.0,4.199999999999999
27,2021,1,2,3,0.0,4.05
28,2021,1,2,4,0.0,3.95
29,2021,1,2,5,0.0,3.75
30,2021,1,2,6,0.0,3.55
31,2021,1,2,7,0.0,3.35
32,2021,1,2,8,0.0,4.1
33,2021,1,2,9,0.0,5.4
34,2021,1,2,10,0.0,6.4
35,2021,1,2,11,0.0,7.1
36,2021,1,2,12,0.0,8.05
37,2021,1,2,13,0.0,9.0
38,2021,1,2,14,0.0,8.15
39,2021,1,2,15,0.0,7.3
40,2021,1,2,16,0.0,6.9
41,2021,1,2,17,0.0,6.95
42,2021,1,2,18,0.0,6.550000000000001
43,2021,1,2,19,0.0,6.85
44,2021,1,2,20,0.0,7.1
45,2021,1,2,21,0.0,6.449999999999999
46,2021,1,2,22,0.0,6.5
47,2021,1,2,23,0.0,6.4
48,2021,1,3,0,0.0,5.65
49,2021,1,3,1,0.0,5.199999999999999
50,2021,1,3,2,0.0,4.8
51,2021,1,3,3,0.0,4.35
52,2021,1,3,4,0.0,4.0
53,2021,1,3,5,0.0,3.8
54,2021,1,3,6,0.0,3.6500000000000004
55,2021,1,3,7,0.0,3.25
56,2021,1,3,8,0.0,3.4
57,2021,1,3,9,0.0,3.6999999999999997
58,2021,1,3,10,0.0,6.15
59,2021,1,3,11,0.0,7.800000000000001
60,2021,1,3,12,0.0,9.25
61,2021,1,3,13,0.0,9.3
62,2021,1,3,14,0.0,9.2
63,2021,1,3,15,0.0,8.4
64,2021,1,3,16,0.0,6.6
65,2021,1,3,17,0.0,4.7
66,2021,1,3,18,0.0,4.25
67,2021,1,3,19,0.0,4.15
68,2021,1,3,20,0.0,4.05
69,2021,1,3,21,0.0,4.0
70,2021,1,3,22,0.0,3.45
71,2021,1,3,23,0.0,4.55
72,2021,1,4,0,0.0,4.699999999999999
73,2021,1,4,1,0.0,2.75
74,2021,1,4,2,0.0,2.55
75,2021,1,4,3,0.0,3.75
76,2021,1,4,4,0.0,4.9
77,2021,1,4,5,0.0,4.65
78,2021,1,4,6,0.0,3.8499999999999996
79,2021,1,4,7,0.0,4.05
80,2021,1,4,8,0.0,4.1
81,2021,1,4,9,0.0,5.300000000000001
82,2021,1,4,10,0.0,6.85
83,2021,1,4,11,0.0,8.1
84,2021,1,4,12,0.0,9.399999999999999
85,2021,1,4,13,0.0,10.100000000000001
86,2021,1,4,14,0.0,9.95
87,2021,1,4,15,0.0,9.100000000000001
88,2021,1,4,16,0.0,7.699999999999999
89,2021,1,4,17,0.0,5.949999999999999
90,2021,1,4,18,0.0,6.449999999999999
91,2021,1,4,19,0.0,5.4
92,2021,1,4,20,0.0,4.85
93,2021,1,4,21,0.0,4.050000000000001
94,2021,1,4,22,0.0,4.4
