,year,month,day,hour,mm_precip,temperature
8759,2020,1,1,0,0.0,6.45
8760,2020,1,1,1,0.0,6.0
8761,2020,1,1,2,0.0,5.75
8762,2020,1,1,3,0.0,5.199999999999999
8763,2020,1,1,4,0.0,4.55
8764,2020,1,1,5,0.0,4.45
8765,2020,1,1,6,0.0,4.25
8766,2020,1,1,7,0.0,4.25
8767,2020,1,1,8,0.0,6.85
8768,2020,1,1,9,0.0,9.649999999999999
8769,2020,1,1,10,0.0,11.15
8770,2020,1,1,11,0.0,11.899999999999999
8771,2020,1,1,12,0.0,12.45
8772,2020,1,1,13,0.0,12.6
8773,2020,1,1,14,0.0,12.45
8774,2020,1,1,15,0.0,11.649999999999999
8775,2020,1,1,16,0.0,10.2
8776,2020,1,1,17,0.0,9.35
8777,2020,1,1,18,0.0,9.1
8778,2020,1,1,19,0.0,8.75
8779,2020,1,1,20,0.0,8.95
8780,2020,1,1,21,0.0,7.4
8781,2020,1,1,22,0.0,6.8
8782,2020,1,1,23,0.0,6.949999999999999
8783,2020,1,2,0,0.0,6.35
8784,2020,1,2,1,0.0,6.15
8785,2020,1,2,2,0.0,5.9
8786,2020,1,2,3,0.0,5.199999999999999
8787,2020,1,2,4,0.0,4.949999999999999
8788,2020,1,2,5,0.0,4.800000000000001
8789,2020,1,2,6,0.0,5.15
8790,2020,1,2,7,0.0,6.5
8791,2020,1,2,8,0.0,8.0
8792,2020,1,2,9,0.0,9.1
8793,2020,1,2,10,0.0,10.95
8794,2020,1,2,11,0.0,11.95
8795,2020,1,2,12,0.0,13.15
8796,2020,1,2,13,0.0,13.45
8797,2020,1,2,14,0.0,13.85
8798,2020,1,2,15,0.0,12.8
8799,2020,1,2,16,0.0,11.3
8800,2020,1,2,17,0.0,10.15
8801,2020,1,2,18,0.0,9.2
8802,2020,1,2,19,0.0,9.0
8803,2020,1,2,20,0.0,8.75
8804,2020,1,2,21,0.0,8.850000000000001
8805,2020,1,2,22,0.0,8.9
8806,2020,1,2,23,0.0,8.95
8807,2020,1,3,0,0.0,8.75
8808,2020,1,3,1,0.0,8.850000000000001
8809,2020,1,3,2,0.0,8.45
8810,2020,1,3,3,0.0,8.5
8811,2020,1,3,4,0.0,8.2
8812,2020,1,3,5,0.0,8.2
8813,2020,1,3,6,0.0,8.4
8814,2020,1,3,7,0.0,8.05
8815,2020,1,3,8,0.0,9.05
8816,2020,1,3,9,0.0,10.45
8817,2020,1,3,10,0.0,10.850000000000001
8818,2020,1,3,11,0.0,12.05
8819,2020,1,3,12,0.0,12.8
8820,2020,1,3,13,0.0,11.55
8821,2020,1,3,14,0.0,11.3
8822,2020,1,3,15,0.0,10.7
8823,2020,1,3,16,0.0,9.25
8824,2020,1,3,17,0.0,8.600000000000001
8825,2020,1,3,18,0.0,8.3
8826,2020,1,3,19,0.0,8.45
8827,2020,1,3,20,0.0,8.25
8828,2020,1,3,21,0.0,7.9
8829,2020,1,3,22,0.0,7.300000000000001
8830,2020,1,3,23,0.0,7.25
8831,2020,1,4,0,0.0,7.0
8832,2020,1,4,1,0.0,6.699999999999999
8833,2020,1,4,2,0.0,6.3
8834,2020,1,4,3,0.0,6.25
8835,2020,1,4,4,0.0,6.4
8836,2020,1,4,5,0.0,5.800000000000001
8837,2020,1,4,6,0.0,5.050000000000001
8838,2020,1,4,7,0.0,5.25
8839,2020,1,4,8,0.0,8.25
8840,2020,1,4,9,0.0,11.8
8841,2020,1,4,10,0.0,13.8
8842,2020,1,4,11,0.0,14.25
8843,2020,1,4,12,0.0,15.05
8844,2020,1,4,13,0.0,15.55
8845,2020,1,4,14,0.0,14.75
8846,2020,1,4,15,0.0,13.350000000000001
8847,2020,1,4,16,0.0,11.3
8848,2020,1,4,17,0.0,10.25
8849,2020,1,4,18,0.0,9.25
8850,2020,1,4,19,0.0,9.6
8851,2020,1,4,20,0.0,9.6
8852,2020,1,4,21,0.0,9.7
8853,2020,1,4,22,0.0,9.7
8854,2020,1,4,23,0.0,9.95
8855,2020,1,5,0,0.0,10.100000000000001
8856,2020,1,5,1,0.0,9.3
8857,2020,1,5,2,0.0,8.4
8858,2020,1,5,3,0.0,8.4
8859,2020,1,5,4,0.0,7.85
8860,2020,1,5,5,0.0,7.35
8861,2020,1,5,6,0.0,6.25
8862,2020,1,5,7,0.0,6.25
8863,2020,1,5,8,0.0,9.1
8864,2020,1,5,9,0.0,11.8
8865,2020,1,5,10,0.0,13.5
8866,2020,1,5,11,0.0,15.15
8867,2020,1,5,12,0.0,15.649999999999999
8868,2020,1,5,13,0.0,15.45
8869,2020,1,5,14,0.0,14.600000000000001
8870,2020,1,5,15,0.0,13.2
8871,2020,1,5,16,0.0,12.2
