timestamp,mm_precip,temperature
1711062000,0,13.3
1711063800,0,13.6
1711065600,0,13.8
1711067400,0,13.9
1711069200,0,13.9
1711071000,0,13.7
1711072800,0,13.9
1711074600,0,13.9
1711076400,0,14.1
1711078200,0,15
1711080000,0,15.4
1711081800,0,15.7
1711083600,0,15.9
1711085400,0,16.8
1711087200,0,19
1711089000,0,20.9
1711090800,0,20.9
1711092600,0,21.7
1711094400,0,22.9
1711096200,0,23.5
1711098000,0,24
1711099800,0,24.4
1711101600,0,24.3
1711103400,0,24.7
1711105200,0,24.6
1711107000,0,24.7
1711108800,0,23.8
1711110600,0,23.5
1711112400,0,22.7
1711114200,0,23
1711116000,0,22.2
1711117800,0,21.6
1711119600,0,20.8
1711121400,0,20.3
1711123200,0,20
1711125000,0,19.3
1711126800,0,18.7
1711128600,0,18.1
1711130400,0,17.6
1711132200,0,17
1711134000,0,16.9
1711135800,0,16.7
1711137600,0,16.3
1711139400,0,16.4
1711141200,0,17
1711143000,0,17
1711144800,0,16.6
1711146600,0,17.1
1711148400,0,16.3
1711150200,0,15.8
1711152000,0,16
1711153800,0,15.1
1711155600,0,14.8
1711157400,0,14.6
1711159200,0,14.5
1711161000,0,14.1
1711162800,0,14.2
1711164600,0,14.6
1711166400,0,14.2
1711168200,0,13.7
1711170000,0,13.7
1711171800,0,14.8
1711173600,0,16.3
1711175400,0,17.3
1711177200,0,17.6
1711179000,0,17.3
1711180800,0,18.4
1711182600,0,19.1
1711184400,0,20
1711186200,0,20.5
1711188000,0,20.9
1711189800,0,21.1
1711191600,0,21.3
1711193400,0,21.2
1711195200,0,21.3
1711197000,0,20.7
1711198800,0,20.6
1711200600,0,20.1
1711202400,0,19.3
1711204200,0,18
1711206000,0,17.4
1711207800,0,16.4
1711209600,0,16.1
1711211400,0,15.8
1711213200,0,15.6
1711215000,0,15.2
1711216800,0,15.1
1711218600,0,15.2
1711220400,0,15.1
1711222200,0,15
1711224000,0,14.7
1711225800,0,14.2
1711227600,0,13.6
1711229400,0,13.4
1711231200,0,13.4
1711233000,0,13.7
1711234800,0,13.7
1711236600,0,13.1
1711238400,0,12.6
1711240200,0,13.2
1711242000,0,14
1711243800,0,14.2
1711245600,0,14.3
1711247400,0,14.3
1711249200,0,14.3
1711251000,0,14.1
1711252800,0,14
1711254600,0,14.2
1711256400,0,14.3
1711258200,0,14.5
1711260000,0,14.3
1711261800,0,14.1
1711263600,0,14.1
1711265400,0,14.4
1711267200,0,13.3
1711269000,0,13.4
1711270800,0,13.5
1711272600,0,14.2
1711274400,0,14.1
1711276200,0,14.3
1711278000,0,14
1711279800,0,14
1711281600,0,13.9
