,year,month,day,hour,mm_precip,temperature
17518,2023,1,1,0,0.0,10.8
17519,2023,1,1,1,0.0,9.95
17520,2023,1,1,2,0.0,9.5
17521,2023,1,1,3,0.0,9.05
17522,2023,1,1,4,0.0,10.149999999999999
17523,2023,1,1,5,0.0,9.55
17524,2023,1,1,6,0.0,8.95
17525,2023,1,1,7,0.0,9.15
17526,2023,1,1,8,0.0,10.2
17527,2023,1,1,9,0.0,13.649999999999999
17528,2023,1,1,10,0.0,14.9
17529,2023,1,1,11,0.0,15.6
17530,2023,1,1,12,0.0,15.2
17531,2023,1,1,13,0.0,15.35
17532,2023,1,1,14,0.0,15.45
17533,2023,1,1,15,0.0,15.25
17534,2023,1,1,16,0.0,13.5
17535,2023,1,1,17,0.0,12.0
17536,2023,1,1,18,0.0,11.2
17537,2023,1,1,19,0.0,10.95
17538,2023,1,1,20,0.0,10.95
17539,2023,1,1,21,0.0,10.75
17540,2023,1,1,22,0.0,10.5
17541,2023,1,1,23,0.0,10.1
17542,2023,1,2,0,0.0,10.55
17543,2023,1,2,1,0.0,10.899999999999999
17544,2023,1,2,2,0.0,9.85
17545,2023,1,2,3,0.0,9.850000000000001
17546,2023,1,2,4,0.0,9.45
17547,2023,1,2,5,0.0,8.85
17548,2023,1,2,6,0.0,8.55
17549,2023,1,2,7,0.0,9.15
17550,2023,1,2,8,0.0,11.8
17551,2023,1,2,9,0.0,13.3
17552,2023,1,2,10,0.0,14.7
17553,2023,1,2,11,0.0,15.149999999999999
17554,2023,1,2,12,0.0,15.7
17555,2023,1,2,13,0.0,15.95
17556,2023,1,2,14,0.0,15.600000000000001
17557,2023,1,2,15,0.0,14.55
17558,2023,1,2,16,0.0,13.65
17559,2023,1,2,17,0.0,13.5
17560,2023,1,2,18,0.0,14.05
17561,2023,1,2,19,0.0,14.100000000000001
17562,2023,1,2,20,0.0,14.05
17563,2023,1,2,21,0.0,13.05
17564,2023,1,2,22,0.0,12.45
17565,2023,1,2,23,0.0,13.4
17566,2023,1,3,0,0.0,12.95
17567,2023,1,3,1,0.0,13.15
17568,2023,1,3,2,0.0,13.399999999999999
17569,2023,1,3,3,0.0,13.15
17570,2023,1,3,4,0.05,12.55
17571,2023,1,3,5,0.1,11.5
17572,2023,1,3,6,0.0,11.55
17573,2023,1,3,7,0.0,12.65
17574,2023,1,3,8,0.0,13.55
17575,2023,1,3,9,0.0,14.4
17576,2023,1,3,10,0.0,15.65
17577,2023,1,3,11,0.0,16.5
17578,2023,1,3,12,0.0,17.1
17579,2023,1,3,13,0.0,17.45
17580,2023,1,3,14,0.0,17.299999999999997
17581,2023,1,3,15,0.0,15.950000000000001
17582,2023,1,3,16,0.0,13.6
17583,2023,1,3,17,0.0,12.399999999999999
17584,2023,1,3,18,0.0,12.55
17585,2023,1,3,19,0.0,12.4
17586,2023,1,3,20,0.0,12.25
17587,2023,1,3,21,0.0,11.0
17588,2023,1,3,22,0.0,10.15
17589,2023,1,3,23,0.0,10.2
17590,2023,1,4,0,0.0,10.1
17591,2023,1,4,1,0.0,9.649999999999999
17592,2023,1,4,2,0.0,10.05
17593,2023,1,4,3,0.0,9.2
17594,2023,1,4,4,0.0,9.2
17595,2023,1,4,5,0.0,8.4
17596,2023,1,4,6,0.0,8.0
17597,2023,1,4,7,0.0,8.35
17598,2023,1,4,8,0.0,11.149999999999999
