,year,month,day,hour,mm_precip,temperature
0,2019,1,1,0,0.0,9.0
1,2019,1,1,1,0.0,9.1
2,2019,1,1,2,0.0,8.45
3,2019,1,1,3,0.0,7.550000000000001
4,2019,1,1,4,0.0,7.5
5,2019,1,1,5,0.0,8.5
6,2019,1,1,6,0.0,9.45
7,2019,1,1,7,0.0,9.95
8,2019,1,1,8,0.0,10.9
9,2019,1,1,9,0.0,13.65
10,2019,1,1,10,0.0,14.6
11,2019,1,1,11,0.0,16.200000000000003
12,2019,1,1,12,0.0,16.2
13,2019,1,1,13,0.0,14.35
14,2019,1,1,14,0.0,13.7
15,2019,1,1,15,0.0,13.9
16,2019,1,1,16,0.0,12.9
17,2019,1,1,17,0.0,12.25
18,2019,1,1,18,0.0,11.35
19,2019,1,1,19,0.0,11.7
20,2019,1,1,20,0.0,10.95
21,2019,1,1,21,0.0,10.1
22,2019,1,1,22,0.0,8.75
23,2019,1,1,23,0.0,8.8
24,2019,1,2,0,0.0,9.649999999999999
25,2019,1,2,1,0.0,9.5
26,2019,1,2,2,0.0,9.4
27,2019,1,2,3,0.0,9.45
28,2019,1,2,4,0.0,9.2
29,2019,1,2,5,0.0,7.75
30,2019,1,2,6,0.0,7.300000000000001
31,2019,1,2,7,0.0,7.25
32,2019,1,2,8,0.0,8.25
33,2019,1,2,9,0.0,9.05
34,2019,1,2,10,0.0,12.1
35,2019,1,2,11,0.0,12.65
36,2019,1,2,12,0.0,14.100000000000001
37,2019,1,2,13,0.0,13.8
38,2019,1,2,14,0.0,13.75
39,2019,1,2,15,0.0,12.05
40,2019,1,2,16,0.0,10.2
41,2019,1,2,17,0.0,9.600000000000001
42,2019,1,2,18,0.0,8.7
43,2019,1,2,19,0.0,7.5
44,2019,1,2,20,0.0,6.9
45,2019,1,2,21,0.0,6.4
46,2019,1,2,22,0.0,6.25
47,2019,1,2,23,0.0,6.300000000000001
48,2019,1,3,0,0.0,7.0
49,2019,1,3,1,0.0,7.25
50,2019,1,3,2,0.0,7.55
51,2019,1,3,3,0.0,8.55
52,2019,1,3,4,0.0,8.7
53,2019,1,3,5,0.0,6.7
54,2019,1,3,6,0.0,5.9
55,2019,1,3,7,0.0,5.5
56,2019,1,3,8,0.0,7.25
57,2019,1,3,9,0.0,10.399999999999999
58,2019,1,3,10,0.0,12.2
59,2019,1,3,11,0.0,12.6
60,2019,1,3,12,0.0,12.75
61,2019,1,3,13,0.0,12.9
62,2019,1,3,14,0.0,13.1
63,2019,1,3,15,0.0,12.1
